WKT,ID_ACIDENT,CADLOGA,CADLOGB,ALT_NUM,REFERENCIA,DATA,HORA,COD_ACID,SENTIDO,PISTA,VEICULOS,VITIMAS,DEC,DISTRITO,FOLHA,PRINC_A,PRINC_B,TIPO_ACIDE
"POINT (-46.6601211074555 -23.5808464119823)",D121400354,10630,,10,,2014/12/11,1030,4,,,01000000000000000,0100,SO1,53,0218,10630,,AT
"POINT (-46.6514540288209 -23.6001687072303)",D121400355,26326,,1,,2014/12/12,1220,2,,,11000000000000000,0100,SO1,53,0218,26326,,CO
"POINT (-46.6560366830364 -23.6110250080525)",D121400356,35829,,510,,2014/12/18,1224,2,,,01000000000100000,0100,SU2,53,0218,35829,,CO
"POINT (-46.6519254259673 -23.5895506760297)",D121400357,10630,,1900,,2014/12/07,1100,2,,,01000000000100000,0100,SU2,53,0218,10630,,CO
"POINT (-46.6516356181372 -23.5790556823622)",D121400358,11946,,47,,2014/12/30,1320,2,,,11000000000000000,0100,SO1,53,0218,11946,,CO
"POINT (-46.6370762763671 -23.582309236414)",D121400359,12452,,66,,2014/12/10,0700,4,,,10000000000000000,0100,SU1,92,0218,12452,,AT
"POINT (-46.6528972388136 -23.5798546232853)",D121400360,11946,,221,,2014/12/19,1515,2,,,11000000000000000,0100,SO1,53,0219,11946,,CO
"POINT (-46.6527841435123 -23.5864619685197)",D121400361,10630,19385,,,2014/12/06,1723,4,,,10000000000000000,0200,SU2,53,0219,10630,19385,AT
"POINT (-46.634486064565 -23.5892614608842)",D121400362,11922,14642,,,2014/12/07,2236,2,,,11000000000000000,0100,SU2,92,0219,11922,14642,CF
"POINT (-46.657592695541 -23.5776890905509)",D121400363,12651,,1431,,2014/12/14,0853,2,,,01000000000100000,0100,SO1,53,0219,12651,,CO
"POINT (-46.6577605488611 -23.5945894740306)",D121400364,15914,08668,,,2014/12/15,1900,2,C,,21000000000000000,0100,SO1,53,0219,08668,15914,CO
"POINT (-46.409544783113 -23.533704055683)",D121400365,17478,,,NC,2014/12/15,1957,2,,,11000000000000000,0100,LE3,47,0219,17478,,CO
