WKT,Cadlog,Id_acident,Cadloga,Cadlogb,Alt_num,Referencia,Data,Hora,Cod_acid,Fonte,Viatura,Dp,Talao,Sentido,Pista,Veiculos,Vitimas,Dec,Distrito,Folha,Princ_a,Princ_b,Placa1,Tipo_plac1,Placa2,Tipo_plac2,Placa3,Tipo_plac3,Tipo_acide,Flag_dupl,Nv_dupl,Duplacas,Dia
"POINT (-46.540559 -23.579325)",,D011101203,16417,17824,,,2011/01/25,1446,2,D,,58,702,,,01100000000000000,0100,MO,87,0519,16417,17824,CVQ9579,MO,,ON,,,CT,,,,
"POINT (-46.555314 -23.567112)",,D011101204,43408,,2601,,2011/01/10,0900,2,D,,58,900002,,,01000000000000000,0200,BR,46,0519,43408,,EQP4546,MO,,,,,CH,,,,
"POINT (-46.591314 -23.530653)",,D011101205,06371,,480,,2011/01/04,1645,2,D,,81,018,B,,11000000000000000,0300,TT,82,0520,29772,,BSP2208,MO,ANG6091,AU,,,CT,,,,
"POINT (-46.583757 -23.535485)",,D011101206,04736,,2954,,2011/01/11,1515,4,D,,81,058,C,,00000001000000000,0100,BR,82,0520,04736,,DJE8575,OU,,,,,AT,,,,
"POINT (-46.590465 -23.540164)",,D011101207,11328,,1110,,2011/01/17,1422,4,D,,81,096,,,01000000000000000,0200,BR,08,0520,11328,,BXX0760,MO,,,,,AT,,,,
"POINT (-46.592826 -23.540893)",,D011101208,06381,11328,,,2011/01/26,1410,2,D,,81,136,,,11000000000000000,0100,BR,08,0520,06381,11328,EQP7613,MO,DTC1900,AU,,,CO,,,,
"POINT (-46.598716 -23.527213)",,D011101209,04561,,,PXPTE VL MARIA,2011/01/15,0639,2,D,,81,489,,,10000000000000000,0100,TT,06,0520,29772,,DNA4815,AU,,,,,CH,,,,
"POINT (-46.605146 -23.541933)",,D011101211,19768,,1050,,2011/01/25,1741,2,D,,81,853,,,10001000000000000,0100,BR,06,0520,19768,,DWN0802,AU,,BI,,,CO,,,,
"POINT (-46.70518 -23.646274)",,D011101212,10270,,499,,2011/01/01,0000,2,D,,11,001,,,10000000000000000,0100,CL,72,0600,10270,,CRO0818,AU,,,,,CH,,,,
"POINT (-46.70343 -23.649148)",,D011101213,01243,00222,,,2011/01/05,1616,4,D,,11,112,,,01000000000000000,0200,SA,72,0600,00222,01243,EQS1658,MO,,,,,AT,,,,
"POINT (-46.713856 -23.645106)",,D011101214,10270,,1484,,2011/01/07,1206,4,D,,11,176,,,01000000000000000,0200,CL,72,0600,10270,,DLT0912,MO,,,,,AT,,,,
"POINT (-46.712234 -23.641983)",,D011101215,09600,,252,,2011/01/07,1611,4,D,,11,192,,,10000000000000000,0100,CL,72,0600,09600,,ELR6768,AU,,,,,AT,,,,
"POINT (-46.717521 -23.645082)",,D011101216,10270,,1805,,2011/01/08,1257,2,D,,11,217,,,01000000000000000,0100,CL,72,0600,10270,,DXI4215,MO,,,,,CH,,,,
"POINT (-46.707057 -23.646892)",,D011101217,01243,,123,,2011/01/09,0340,2,D,,11,229,,,10000000000000000,0200,SA,72,0600,01243,,BVY2251,AU,,,,,CH,,,,
"POINT (-46.720925 -23.651053)",,D011101218,03216,,722,,2011/01/10,1333,4,D,,11,266,,,10000000000000000,0100,CL,72,0600,03216,,ARH3937,AU,,,,,AT,,,,
"POINT (-46.706406 -23.662634)",,D011101219,19844,,419,,2011/01/10,1400,2,D,,11,277,,,10000001000000000,0500,CS,29,0600,19844,,CHB3739,AU,EFU3013,OU,,,CO,,,,
"POINT (-46.69731 -23.640224)",,D011101220,00222,35439,,,2011/01/11,0550,2,D,,11,288,,,01000001000000000,0100,SA,,0600,00222,35439,DJB0191,OU,DZS6449,MO,,,CL,,,,
"POINT (-46.718801 -23.655945)",,D011101222,06238,11063,,,2011/01/14,1327,2,D,,11,434,,,01000001000000000,0100,CS,72,0601,06238,11063,DTB9602,OU,EQS2394,MO,,,CL,,,,
"POINT (-46.721436 -23.649857)",,D011101224,03216,,575,,2011/01/14,1545,2,D,,11,440,,,11000000000000000,0100,CL,72,0601,03216,,EPW1813,AU,DYX6704,MO,,,CO,,,,
"POINT (-46.721746 -23.644699)",,D011101225,10270,,2346,,2011/01/15,0340,2,D,,11,448,,,01000000000000000,0100,CL,72,0601,10270,,DRV0246,MO,,,,,QM,,,,
"POINT (-46.693201 -23.636619)",,D011101226,10918,01085,,,2011/01/16,0530,2,D,,11,473,,,10000000000100000,0100,SA,72,0601,01085,10918,EQL9582,CM,EQQ2235,AU,,,SI,,,,
"POINT (-46.708099 -23.649899)",,D011101227,15741,,15,,2011/01/18,2002,4,D,,11,557,,,10000000000000000,0100,CL,29,0601,15741,,EPB7245,AU,,,,,AT,,,,
